No,제목,회사,지역,link
68,AI알고리즘 & 모델 개발자,티앤엠테크,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45017990?Oem_Code=C1&logpath=1&stext=파이썬&listno=1189
69,[LF 계열사] 트라이씨클 하프클럽/보리보리 Data Scientist 영입,㈜트라이씨클,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45017369?Oem_Code=C1&logpath=1&stext=파이썬&listno=1190
70,Senior Software Engineer - Search,㈜야놀자,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45017130?Oem_Code=C1&logpath=1&stext=파이썬&listno=1191
71,"Staff, Security Analyst (Blue Team/ DART)",쿠팡㈜,서울 송파구,https://www.jobkorea.co.kr/Recruit/GI_Read/45012051?Oem_Code=C1&logpath=1&stext=파이썬&listno=1192
72,DevOps 엔지니어 모집,㈜투스카이,서울 성동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45011061?Oem_Code=C1&logpath=1&stext=파이썬&listno=1193
73,[2024] GPT 프롬프터/개발자 모집 - 기술기획,지아이웍스,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45009850?Oem_Code=C1&logpath=1&stext=파이썬&listno=1194
74,"인공지능 활용 SW 개발자 양성 IT 훈련교강사, 퍼실리테이터, 보조강사 모집 : 풀스택(Springboot-React), 생성Ai, EDA, LLM, ROS, Unreal",애드인에듀,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45009404?Oem_Code=C1&logpath=1&stext=파이썬&listno=1195
75,(주)다울디엔에스 AI/Big Data Solution 개발 상시채용,㈜다울디엔에스,대구 동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45008590?Oem_Code=C1&logpath=1&stext=파이썬&listno=1196
76,(모빌리티랩) 백엔드 개발 담당 인력 경력직 모집,스튜디오갈릴레이,경기 용인시,https://www.jobkorea.co.kr/Recruit/GI_Read/45008206?Oem_Code=C1&logpath=1&stext=파이썬&listno=1197
77,백엔드 개발자 경력 채용,업플래닛㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45005345?Oem_Code=C1&logpath=1&stext=파이썬&listno=1198
78,DBMS 개발자 (경력) 모집,㈜마크베이스,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45004976?Oem_Code=C1&logpath=1&stext=파이썬&listno=1199
79,DevOps Engineering,㈜페르소나에이아이,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45004467?Oem_Code=C1&logpath=1&stext=파이썬&listno=1200
80,반도체장비 유지보수(화성/기흥/평택/아산) 사원모집,㈜글로벌스탠다드테크놀로지,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45089130?Oem_Code=C1&logpath=1
81,[사보텐] 일식카츠 조리/홀 담당 정규직 채용(광주),㈜캘리스코,광주,https://www.jobkorea.co.kr/Recruit/GI_Read/45267254?Oem_Code=C1&logpath=1
82,[이엔에스코리아] 확장에 따른 인재를 모집합니다,㈜이엔에스코리아,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45001171?Oem_Code=C1&logpath=1
83,부산본부 기간제근로자(청년인턴) 채용,한국교통안전공단,부산,https://www.jobkorea.co.kr/Recruit/GI_Read/45353548?Oem_Code=C1&logpath=1
84,㈜한국LNG (삼성중공업) 신입사원 모집,㈜한국LNG,경남 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45345106?Oem_Code=C1&logpath=1
85,각 부문별 경력/신입 인재영입,(주)우아한형제들,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45324861?Oem_Code=C1&logpath=1
86,"[(주)시몬스] N32브랜드 대규모 채용 (신입,경력)",㈜시몬스,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45342587?Oem_Code=C1&logpath=1
87,인사 및 경영지원 담당 정규직 채용,비플라넷㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45122061?Oem_Code=C1&logpath=1
88,2024년 화장품 각 부문 정규직 채용,한솔생명과학㈜,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45291249?Oem_Code=C1&logpath=1
89,2024 기아 8월 경력채용,기아㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45353056?Oem_Code=C1&logpath=1
90,[서초] AI기반 모바일 교육용 앱서비스 기업 생성형AI 개발,벤처기업,서울 전지역 외,https://www.jobkorea.co.kr/Recruit/GI_Read/44899450?PageGbn=HH&logpath=1&stext=파이썬&listno=1781
91,[서초] AI기반 모바일 교육용 앱서비스 기업 백엔드 개발,벤처기업,서울 전지역 외,https://www.jobkorea.co.kr/Recruit/GI_Read/44899405?PageGbn=HH&logpath=1&stext=파이썬&listno=1782
